,Date,Inflation,Unemployment Rate (%),Interest Rate (%)
351,2000-12-17,0.22962112514350874,3.9,6.4
352,2000-12-18,0.22962112514350874,3.9,6.4
353,2000-12-19,0.22962112514350874,3.9,6.4
354,2000-12-20,0.22962112514350874,3.9,6.4
355,2000-12-21,0.22962112514350874,3.9,6.4
356,2000-12-22,0.22962112514350874,3.9,6.4
357,2000-12-23,0.22962112514350874,3.9,6.4
358,2000-12-24,0.22962112514350874,3.9,6.4
359,2000-12-25,0.22962112514350874,3.9,6.4
360,2000-12-26,0.22962112514350874,3.9,6.4
361,2000-12-27,0.22962112514350874,3.9,6.4
362,2000-12-28,0.22962112514350874,3.9,6.4
363,2000-12-29,0.22962112514350874,3.9,6.4
364,2000-12-30,0.22962112514350874,3.9,6.4
365,2000-12-31,0.22962112514350874,3.9,6.4
366,2001-01-01,0.572737686139746,4.2,5.98
367,2001-01-02,0.572737686139746,4.2,5.98
368,2001-01-03,0.572737686139746,4.2,5.98
369,2001-01-04,0.572737686139746,4.2,5.98
370,2001-01-05,0.572737686139746,4.2,5.98
371,2001-01-06,0.572737686139746,4.2,5.98
372,2001-01-07,0.572737686139746,4.2,5.98
373,2001-01-08,0.572737686139746,4.2,5.98
374,2001-01-09,0.572737686139746,4.2,5.98
375,2001-01-10,0.572737686139746,4.2,5.98
376,2001-01-11,0.572737686139746,4.2,5.98
377,2001-01-12,0.572737686139746,4.2,5.98
378,2001-01-13,0.572737686139746,4.2,5.98
379,2001-01-14,0.572737686139746,4.2,5.98
380,2001-01-15,0.572737686139746,4.2,5.98
381,2001-01-16,0.572737686139746,4.2,5.98
382,2001-01-17,0.572737686139746,4.2,5.98
383,2001-01-18,0.572737686139746,4.2,5.98
384,2001-01-19,0.572737686139746,4.2,5.98
385,2001-01-20,0.572737686139746,4.2,5.98
386,2001-01-21,0.572737686139746,4.2,5.98
387,2001-01-22,0.572737686139746,4.2,5.98
388,2001-01-23,0.572737686139746,4.2,5.98
389,2001-01-24,0.572737686139746,4.2,5.98
390,2001-01-25,0.572737686139746,4.2,5.98
391,2001-01-26,0.572737686139746,4.2,5.98
392,2001-01-27,0.572737686139746,4.2,5.98
393,2001-01-28,0.572737686139746,4.2,5.98
394,2001-01-29,0.572737686139746,4.2,5.98
395,2001-01-30,0.572737686139746,4.2,5.98
396,2001-01-31,0.572737686139746,4.2,5.98
397,2001-02-01,0.2277904328018332,4.2,5.49
398,2001-02-02,0.2277904328018332,4.2,5.49
399,2001-02-03,0.2277904328018332,4.2,5.49
400,2001-02-04,0.2277904328018332,4.2,5.49
401,2001-02-05,0.2277904328018332,4.2,5.49
402,2001-02-06,0.2277904328018332,4.2,5.49
403,2001-02-07,0.2277904328018332,4.2,5.49
404,2001-02-08,0.2277904328018332,4.2,5.49
405,2001-02-09,0.2277904328018332,4.2,5.49
406,2001-02-10,0.2277904328018332,4.2,5.49
407,2001-02-11,0.2277904328018332,4.2,5.49
408,2001-02-12,0.2277904328018332,4.2,5.49
409,2001-02-13,0.2277904328018332,4.2,5.49
410,2001-02-14,0.2277904328018332,4.2,5.49
411,2001-02-15,0.2277904328018332,4.2,5.49
412,2001-02-16,0.2277904328018332,4.2,5.49
413,2001-02-17,0.2277904328018332,4.2,5.49
414,2001-02-18,0.2277904328018332,4.2,5.49
415,2001-02-19,0.2277904328018332,4.2,5.49
416,2001-02-20,0.2277904328018332,4.2,5.49
417,2001-02-21,0.2277904328018332,4.2,5.49
418,2001-02-22,0.2277904328018332,4.2,5.49
419,2001-02-23,0.2277904328018332,4.2,5.49
420,2001-02-24,0.2277904328018332,4.2,5.49
421,2001-02-25,0.2277904328018332,4.2,5.49
422,2001-02-26,0.2277904328018332,4.2,5.49
423,2001-02-27,0.2277904328018332,4.2,5.49
424,2001-02-28,0.2277904328018332,4.2,5.49
425,2001-03-01,0.05681818181817455,4.3,5.31
426,2001-03-02,0.05681818181817455,4.3,5.31
427,2001-03-03,0.05681818181817455,4.3,5.31
428,2001-03-04,0.05681818181817455,4.3,5.31
429,2001-03-05,0.05681818181817455,4.3,5.31
430,2001-03-06,0.05681818181817455,4.3,5.31
431,2001-03-07,0.05681818181817455,4.3,5.31
432,2001-03-08,0.05681818181817455,4.3,5.31
433,2001-03-09,0.05681818181817455,4.3,5.31
434,2001-03-10,0.05681818181817455,4.3,5.31
435,2001-03-11,0.05681818181817455,4.3,5.31
436,2001-03-12,0.05681818181817455,4.3,5.31
437,2001-03-13,0.05681818181817455,4.3,5.31
438,2001-03-14,0.05681818181817455,4.3,5.31
439,2001-03-15,0.05681818181817455,4.3,5.31
440,2001-03-16,0.05681818181817455,4.3,5.31
441,2001-03-17,0.05681818181817455,4.3,5.31
442,2001-03-18,0.05681818181817455,4.3,5.31
443,2001-03-19,0.05681818181817455,4.3,5.31
444,2001-03-20,0.05681818181817455,4.3,5.31
445,2001-03-21,0.05681818181817455,4.3,5.31
446,2001-03-22,0.05681818181817455,4.3,5.31
447,2001-03-23,0.05681818181817455,4.3,5.31
448,2001-03-24,0.05681818181817455,4.3,5.31
449,2001-03-25,0.05681818181817455,4.3,5.31
450,2001-03-26,0.05681818181817455,4.3,5.31
451,2001-03-27,0.05681818181817455,4.3,5.31
452,2001-03-28,0.05681818181817455,4.3,5.31
453,2001-03-29,0.05681818181817455,4.3,5.31
454,2001-03-30,0.05681818181817455,4.3,5.31
455,2001-03-31,0.05681818181817455,4.3,5.31
456,2001-04-01,0.17035775127769437,4.4,4.8
457,2001-04-02,0.17035775127769437,4.4,4.8
458,2001-04-03,0.17035775127769437,4.4,4.8
459,2001-04-04,0.17035775127769437,4.4,4.8
460,2001-04-05,0.17035775127769437,4.4,4.8
461,2001-04-06,0.17035775127769437,4.4,4.8
462,2001-04-07,0.17035775127769437,4.4,4.8
463,2001-04-08,0.17035775127769437,4.4,4.8
464,2001-04-09,0.17035775127769437,4.4,4.8
465,2001-04-10,0.17035775127769437,4.4,4.8
466,2001-04-11,0.17035775127769437,4.4,4.8
467,2001-04-12,0.17035775127769437,4.4,4.8
468,2001-04-13,0.17035775127769437,4.4,4.8
469,2001-04-14,0.17035775127769437,4.4,4.8
470,2001-04-15,0.17035775127769437,4.4,4.8
471,2001-04-16,0.17035775127769437,4.4,4.8
472,2001-04-17,0.17035775127769437,4.4,4.8
473,2001-04-18,0.17035775127769437,4.4,4.8
474,2001-04-19,0.17035775127769437,4.4,4.8
475,2001-04-20,0.17035775127769437,4.4,4.8
476,2001-04-21,0.17035775127769437,4.4,4.8
477,2001-04-22,0.17035775127769437,4.4,4.8
478,2001-04-23,0.17035775127769437,4.4,4.8
479,2001-04-24,0.17035775127769437,4.4,4.8
480,2001-04-25,0.17035775127769437,4.4,4.8
481,2001-04-26,0.17035775127769437,4.4,4.8
482,2001-04-27,0.17035775127769437,4.4,4.8
483,2001-04-28,0.17035775127769437,4.4,4.8
484,2001-04-29,0.17035775127769437,4.4,4.8
485,2001-04-30,0.17035775127769437,4.4,4.8
486,2001-05-01,0.5102040816326481,4.3,4.21
487,2001-05-02,0.5102040816326481,4.3,4.21
488,2001-05-03,0.5102040816326481,4.3,4.21
489,2001-05-04,0.5102040816326481,4.3,4.21
490,2001-05-05,0.5102040816326481,4.3,4.21
491,2001-05-06,0.5102040816326481,4.3,4.21
492,2001-05-07,0.5102040816326481,4.3,4.21
493,2001-05-08,0.5102040816326481,4.3,4.21
494,2001-05-09,0.5102040816326481,4.3,4.21
495,2001-05-10,0.5102040816326481,4.3,4.21
496,2001-05-11,0.5102040816326481,4.3,4.21
497,2001-05-12,0.5102040816326481,4.3,4.21
498,2001-05-13,0.5102040816326481,4.3,4.21
499,2001-05-14,0.5102040816326481,4.3,4.21
500,2001-05-15,0.5102040816326481,4.3,4.21
501,2001-05-16,0.5102040816326481,4.3,4.21
502,2001-05-17,0.5102040816326481,4.3,4.21
503,2001-05-18,0.5102040816326481,4.3,4.21
504,2001-05-19,0.5102040816326481,4.3,4.21
505,2001-05-20,0.5102040816326481,4.3,4.21
506,2001-05-21,0.5102040816326481,4.3,4.21
507,2001-05-22,0.5102040816326481,4.3,4.21
508,2001-05-23,0.5102040816326481,4.3,4.21
509,2001-05-24,0.5102040816326481,4.3,4.21
510,2001-05-25,0.5102040816326481,4.3,4.21
511,2001-05-26,0.5102040816326481,4.3,4.21
512,2001-05-27,0.5102040816326481,4.3,4.21
513,2001-05-28,0.5102040816326481,4.3,4.21
514,2001-05-29,0.5102040816326481,4.3,4.21
515,2001-05-30,0.5102040816326481,4.3,4.21
516,2001-05-31,0.5102040816326481,4.3,4.21
517,2001-06-01,0.2256063169768563,4.5,3.97
518,2001-06-02,0.2256063169768563,4.5,3.97
519,2001-06-03,0.2256063169768563,4.5,3.97
520,2001-06-04,0.2256063169768563,4.5,3.97
521,2001-06-05,0.2256063169768563,4.5,3.97
522,2001-06-06,0.2256063169768563,4.5,3.97
523,2001-06-07,0.2256063169768563,4.5,3.97
524,2001-06-08,0.2256063169768563,4.5,3.97
525,2001-06-09,0.2256063169768563,4.5,3.97
526,2001-06-10,0.2256063169768563,4.5,3.97
527,2001-06-11,0.2256063169768563,4.5,3.97
528,2001-06-12,0.2256063169768563,4.5,3.97
529,2001-06-13,0.2256063169768563,4.5,3.97
530,2001-06-14,0.2256063169768563,4.5,3.97
531,2001-06-15,0.2256063169768563,4.5,3.97
532,2001-06-16,0.2256063169768563,4.5,3.97
533,2001-06-17,0.2256063169768563,4.5,3.97
534,2001-06-18,0.2256063169768563,4.5,3.97
535,2001-06-19,0.2256063169768563,4.5,3.97
536,2001-06-20,0.2256063169768563,4.5,3.97
537,2001-06-21,0.2256063169768563,4.5,3.97
538,2001-06-22,0.2256063169768563,4.5,3.97
539,2001-06-23,0.2256063169768563,4.5,3.97
540,2001-06-24,0.2256063169768563,4.5,3.97
